epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
1,0.2242,0.0124,0.2143,0.3524,1.2135,0.4855,0.4807,822
2,0.1394,0.0061,0.1331,0.1754,2.0771,0.2469,0.2404,817
3,0.1003,0.0049,0.0945,0.1011,2.4164,0.2103,0.2077,816
4,0.0800,0.0041,0.0747,0.0648,2.3641,0.2332,0.2293,817
5,0.0728,0.0035,0.0681,0.0539,2.1941,0.2701,0.2669,817
6,0.0652,0.0032,0.0608,0.0425,2.1186,0.2797,0.2773,817
7,0.0584,0.0030,0.0542,0.0325,2.0544,0.2930,0.2882,817
8,0.0541,0.0027,0.0501,0.0271,2.0334,0.2969,0.2912,817
9,0.0494,0.0025,0.0456,0.0219,2.0052,0.3046,0.2984,817
10,0.0486,0.0023,0.0450,0.0214,2.0281,0.2986,0.2929,817
11,0.0480,0.0021,0.0445,0.0214,2.0209,0.2994,0.2916,817
12,0.0420,0.0021,0.0385,0.0140,2.1102,0.2828,0.2759,817
13,0.0394,0.0020,0.0359,0.0121,2.0675,0.2898,0.2818,817
14,0.0374,0.0020,0.0338,0.0114,2.2419,0.2599,0.2517,817
15,0.0351,0.0019,0.0315,0.0112,2.2081,0.2656,0.2565,817
16,0.0331,0.0019,0.0296,0.0111,2.2055,0.2599,0.2519,817
17,0.0321,0.0019,0.0286,0.0115,2.2364,0.2617,0.2528,817
18,0.0242,0.0019,0.0205,0.0048,2.3973,0.2245,0.2183,817
19,0.0163,0.0020,0.0125,0.0006,2.4487,0.2131,0.2081,817
20,0.0146,0.0019,0.0109,0.0006,2.3976,0.2251,0.2205,817
